Cliente;Produto;Quantidade;Preço;Data
Cliente A;Day Trading Nivel 1;1;250.00;15/07/2025
Cliente B;Day Trading Nivel 2;1;325.00;18/07/2025
Cliente C;Day Trading Nivel 2;1;325.00;20/07/2025
Cliente D;Day Trading Nivel 1;1;250.00;22/07/2025
Empresa Alfa;Day Trading Nivel 1;5;250.00;25/07/2025
EmpresaBeta;Day Trading Nivel 1;7;250.00;07/07/2026
Empresa Gama;Day Trading Nivel 2;3;325.00;02/09/2026
Empresa Delta;Day Trading Nivel 1;4;250.00;07/05/2025
Cliente E;Day Trading Nivel 3;1;395.00;07/04/2026
Cliente F;Day Trading Nivel 3;1;395.00;07/04/2026
